ТАЙМ-КОДЫ ВИДЕОРОЛИКА (1:39)

Время      | Раздел
-----------|------------------------------------------
00:00-00:09| Заставка (логотип + джингл)
00:09-00:25| Вступление. Что такое фишинг
00:25-00:35| Пример с ВКонтакте
00:35-00:42| AI-видео: Кибератака (Kling AI, 7 сек)
00:42-00:55| Первый признак: проверка URL
00:55-01:05| Второй признак: HTTPS и замок
01:05-01:15| AI-видео: Защита данных (PixVerse, 10 сек)
01:15-01:25| Третий и четвертый признаки
01:25-01:32| Пятый признак: не вводи данные
01:32-01:39| Финал. Призыв + логотип

Общая длительность: 1:39
